"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"11",-6.69691568326695,-7.07094670346154,-7.19391470172976,-6.61455275799898,-6.55338298410608,-6.89385237381315,-7.07956089404812,-6.90832687088109,-6.53255303042952,-6.94842847504962,-6.5693461438503,-6.59106934325977,-6.82262662558578,-7.51524914716202,-7.34471105418167,-7.26117023633366,-7.17339633484276,-7.40510074119144,-7.22619115311725,-7.94218625316052,-7.50741211645474,-7.74444296025733,-7.0480030536404,-7.86635720892802,-7.19543735143392
"12",-6.54778576809397,-7.14185144898648,-7.18633603718757,-6.60796819725045,-6.63131472775401,-7.0589104498296,-6.89723933725416,-6.83211786477652,-6.58195199871049,-7.02028428411858,-6.57557796664381,-6.55458647437269,-6.73596517424052,-7.51656131110833,-7.38096403917682,-7.35582969218465,-7.22638759747502,-7.42001049555772,-7.23091650154368,-7.93378116065317,-7.61355357709564,-7.72873583105197,-7.08449245748219,-7.84643770117119,-7.24482769567538
"13",-6.51629250955774,-6.96674730563617,-7.26626864648023,-6.72531468165474,-6.5993256476714,-7.20308557227218,-6.90861278939627,-6.90333648482043,-6.56012107969555,-6.9746584985785,-6.54808482606361,-6.51378455029971,-6.86100801644251,-7.48578965244158,-7.38440954620321,-7.30079786709174,-7.23012739122457,-7.40721714409781,-7.10707767745612,-7.71872121012195,-7.54668487363729,-7.69458539260225,-7.14329679702491,-7.8749634360419,-7.27654411707989
"14",-6.61338136124078,-6.8388957497182,-7.2313112903368,-6.86880932884748,-6.55911250674067,-7.26954532358764,-6.92286891679218,-6.92897891543376,-6.59764797085974,-7.00647125192129,-6.57393962918949,-6.43909183309536,-6.7995416943419,-7.52871469715861,-7.4559366892919,-7.28380029072317,-7.28943410844143,-7.39831153098607,-7.12289523043582,-7.77866300500847,-7.51132295444674,-7.7735566109339,-7.1598863671696,-7.85340126238712,-7.18445031156749
"15",-6.51900044157999,-6.84854341935029,-7.25367197443135,-6.64242837450271,-6.55438579205213,-7.30418985677603,-6.92069579025787,-6.94709028438081,-6.66581801251383,-7.03380452869852,-6.58081815330736,-6.44617992521803,-6.72531468165474,-7.48553503754523,-7.41691562342907,-7.18558132017062,-7.29236789093128,-7.39203171037174,-7.13197083325768,-7.75072916788929,-7.55156822571832,-7.76847615970148,-7.10481345982067,-7.86710264317796,-7.2720098966158
"16",-6.47504564876741,-7.04047067808933,-7.27861194246518,-6.85760549529667,-6.62397366056373,-7.27716401584961,-6.91593147026631,-7.03250898195861,-6.55338298410608,-7.17432838822368,-6.50582020363854,-6.3975012471151,-6.78515845141039,-7.46263231257039,-7.34493221972498,-7.21234132674103,-7.29531030583267,-7.38119337067651,-7.12697795555311,-7.83157427727708,-7.55156822571832,-7.78929957809793,-7.16763691344164,-7.86115467025189,-7.26852020817239
"17",-6.61519228051065,-6.90761243204239,-7.24602913754998,-6.70867025561818,-6.57547549187813,-7.13286504774989,-6.95544604770827,-6.82512252179115,-6.53157186865536,-7.14058848084386,-6.47236158033201,-6.49886746359647,-6.82013694337202,-7.48350044884744,-7.41810482561464,-7.32522067481288,-7.26218784098034,-7.35918953407303,-7.11372570753919,-7.87158695562529,-7.56058344863974,-7.80005050530008,-7.12165596321517,-7.97403868053489,-7.31357759373814
"18",-6.64649051984806,-7.07246147274891,-7.24063398009322,-6.72591002607906,-6.51667890832607,-7.2011680261429,-6.99471470926907,-6.97940473729765,-6.72901154353607,-7.11759486466998,-6.52560753907037,-6.59597310393414,-6.8664762460627,-7.48451722575253,-7.38994716995276,-7.23427718475018,-7.30037467622635,-7.44928559937117,-7.09960782599341,-7.64470508220048,-7.58840939529462,-7.68895333766482,-7.12307239404688,-7.92584146034962,-7.39064153405889
"19",-6.75062943750399,-6.97084722786243,-7.25246132053045,-6.8198752317767,-6.58040616442523,-7.03493951057958,-7.05410314674637,-7.08688194487957,-6.83503602575437,-7.1013400280548,-6.48613564640302,-6.54023931186553,-6.75270704289536,-7.48578965244158,-7.37206088711323,-7.17918911942413,-7.31959782262813,-7.35538256496951,-7.1035963858636,-7.78929957809793,-7.59321777678354,-7.71711530002895,-7.15621663828064,-7.9101487099097,-7.31314896106977
"20",-6.83264780649533,-6.71489422028162,-7.2293389031096,-6.85692637812286,-6.41847437049538,-7.01948524292544,-7.04554060472313,-7.04636074747393,-6.82092248936685,-7.08602790092981,-6.439181242546,-6.57660329227449,-6.76563586917108,-7.46537306425489,-7.43103913767017,-7.2480347539463,-7.29974022553361,-7.28068405261396,-7.12094849944318,-7.81197628676896,-7.57774412439893,-7.70562825604182,-7.15768291420316,-7.83265438539289,-7.456183877527
"21",-6.69645298805916,-6.77597541939642,-7.26178067485094,-6.84760135616239,-6.50648945171553,-7.12893647126862,-7.12024153582236,-7.05625528730058,-6.80816854241055,-7.05924284138991,-6.46306945772069,-6.64572073919753,-6.83676440483251,-7.45075980111236,-7.48324641607585,-7.18275619351525,-7.30801964869113,-7.31550871760831,-7.08602790092981,-7.6543032362692,-7.57802333702115,-7.65129390507849,-7.11565841480864,-7.86263835004928,-7.4914076447458
"22",-6.80069620668873,-6.76328394631928,-7.2131165205783,-6.83490319716947,-6.45713472220088,-7.15110153761387,-7.05278105103239,-7.03089190528023,-6.61253029735963,-6.99783629756945,-6.47987657603707,-6.56792135223943,-6.81660960285405,-7.45248245442381,-7.49731494329063,-7.29110950150348,-7.25589532047103,-7.27283277261368,-7.04079699559916,-7.71679442725225,-7.49937786305265,-7.69176540013342,-7.07347259518086,-7.87346137041964,-7.48400870807058
"23",-6.81049894222233,-6.62354350677712,-7.25125213054031,-6.81804516590646,-6.56720971697329,-7.12165596321517,-7.11302382998801,-7.08057922407502,-6.59086120505525,-7.03477729142114,-6.50200449739681,-6.65488650376899,-6.77397391760241,-7.48477158159773,-7.49320182695208,-7.26545115205498,-7.24442753560602,-7.30397752000912,-7.02332647684192,-7.92189512531491,-7.49294531803699,-7.73754071428471,-7.12804576131394,-7.8187031664458,-7.22168355116846
"24",-6.64539101451465,-6.71442313323958,-7.2484363603774,-6.72460073588429,-6.48276769486132,-7.16541633517906,-7.14112955759978,-7.06390796148007,-6.64220926845451,-7.08176858790565,-6.52941669540738,-6.6973785926607,-6.81023974056198,-7.3887909667947,-7.52235537525032,-7.18012659019683,-7.32543757102889,-7.16007020759663,-7.04537665685818,-7.74115023420035,-7.51341500541897,-7.76140661334152,-7.13161337123422,-7.85193121434583,-7.0517906250683
"25",-6.62914999046533,-6.74151471194791,-7.21875471963032,-6.78579052272908,-6.37553166253688,-7.0589104498296,-7.1460124681064,-7.00128133699296,-6.68609854672149,-6.99611821827139,-6.46802677990812,-6.7199724715257,-6.82236426168555,-7.48833937335376,-7.49089561196452,-7.26239148623102,-7.20558389201115,-7.19372453343024,-7.04193994616852,-7.61008736911915,-7.50741211645474,-7.72194078791914,-7.10603201685195,-7.82726547348327,-5.39467094764908
"26",-6.7118361139228,-6.76476872758686,-7.1979166127401,-6.97603411973543,-6.491774229146,-6.78933752416766,-6.96811207952303,-6.99502642996985,-6.71926232828364,-7.02477075214713,-6.42842032230752,-6.70260114268465,-6.78756245079679,-7.41691562342907,-7.47590739793985,-7.14329679702491,-7.27324446467384,-7.25427785145685,-7.09718777295403,-7.69082716707007,-7.48273854404868,-7.68273247778971,-7.12537838176497,-7.83409634670979,-5.30244013922231
"27",-6.63991154875002,-6.74928740106758,-7.18369701586332,-6.94798221249108,-6.44204657401928,-7.17432838822368,-7.02172416917656,-7.0521206580746,-6.83185299919425,-6.9983053773998,-6.51272538116694,-6.56670171594636,-6.82683383662991,-7.4559366892919,-7.50299824456071,-7.26035689753323,-7.22207471096222,-7.28630029202526,-7.01932551127428,-7.71135528410362,-7.58418582150939,-7.68180267762975,-7.13322295756044,-7.8453426107168,-5.31526008727835
"28",-6.65466465129998,-6.87073478673846,-7.21816998128406,-6.89752210270211,-6.51716211683994,-7.22717376103752,-7.09718777295403,-7.06374097475512,-6.88753257186461,-7.11988824134774,-6.4584100002021,-6.62655847621936,-6.85245573462719,-7.37753036291777,-7.54128674986773,-7.30951298230198,-7.15146603552204,-7.31722840848784,-7.0170919430196,-7.75372069413556,-7.57273158257539,-7.67470278671568,-7.1447442371184,-7.88061636234469,-5.19025763989718
"29",-6.62569612842419,-6.80416776273069,-7.14257386187685,-6.85489178942507,-6.51658229463584,-7.10238079137511,-7.0480030536404,-7.00836519188137,-6.88264463531203,-7.07701959661944,-6.52873193137964,-6.62010892145384,-6.95230444889431,-7.48020304573294,-7.51761228335431,-7.27944027135909,-7.10812443261101,-7.28817940313253,-7.02992291295634,-7.79275500655335,-7.56525956773669,-7.64919274866986,-7.11039616796983,-7.77695797475739,-5.13040870208728
"30",-6.57199758329879,-6.83876240749519,-7.23111387645797,-6.93688988549313,-6.57793778921329,-7.01518141863653,-7.01725131826896,-6.90490220999973,-6.76575980794548,-7.06825943278157,-6.58525778684499,-6.58867836545872,-6.92883300458503,-7.42383276490308,-7.46562259638344,-7.24683090147346,-7.21816998128406,-7.19429514685514,-7.01105442865196,-7.85745507298742,-7.67809209823321,-7.73427060018681,-7.07128312062199,-7.8652400984041,-5.0412859779379
"31",-6.64539101451465,-6.80133817884919,-7.22090169029985,-6.88697273979961,-6.57067098480841,-7.17675580048834,-7.15878403378588,-6.99643037685048,-6.87225025165618,-7.04226674355705,-6.57670588268238,-6.58308713117849,-6.89950370278437,-7.37024435618684,-7.45519549098743,-7.29383801615668,-7.17116294474634,-7.21816998128406,-6.96523307154913,-7.85303354772954,-7.52951246345541,-7.68895333766482,-7.1595187876764,-7.80845391609646,-4.90421177220124
"32",-6.72317437168192,-6.82485950232619,-7.1979166127401,-6.95111024066163,-6.45051128012171,-7.06040708268566,-7.1981075799898,-6.99487055747324,-6.83119114199887,-7.12858009207739,-6.56325413597511,-6.53343689987081,-7.01232245862057,-7.42598922913879,-7.41762897502275,-7.29320769782507,-7.16634097694628,-7.14402025518632,-7.03949236397249,-7.91914192790224,-7.65853157237872,-7.68926539883134,-7.14311601423494,-7.85303354772954,-5.00530665937819
"33",-6.6212882300869,-6.96175901020446,-7.18520417515389,-6.89300742234758,-6.39364932709458,-6.99752369988013,-7.21253506887086,-6.95335055225505,-6.76712414924239,-7.14673789432609,-6.5676163036835,-6.3558425529829,-7.01549958599524,-7.40627596755775,-7.37479188562447,-7.22246602382184,-7.21350434296051,-7.18709132423254,-7.0630733065614,-7.77525584668686,-7.54479221388614,-7.69835779569279,-7.14946293915893,-7.85229852380818,-4.92193783933497
"34",-6.40966758209308,-6.93073150825859,-7.1979166127401,-6.96508177417386,-6.3420357081087,-7.04357500212467,-7.15420401295576,-7.00631358538569,-6.94042606127169,-7.18068949479936,-6.54231882937483,-6.3326679581051,-6.83198542321616,-7.37798750578287,-7.40910215879358,-7.19125563083724,-7.17116294474634,-7.1239586832124,-7.13591137211989,-7.68273247778971,-7.73852383741813,-7.68118329080289,-7.11390125392778,-7.82440321750413,-4.81841644887425
"35",-6.42718269838717,-6.86729906563737,-7.30143298937413,-6.8939932684946,-6.33855293619238,-7.00820722647546,-7.25731275515201,-6.97817774327868,-6.92548291769975,-7.1025543572872,-6.54678955362625,-6.2895625826123,-6.83570043345937,-7.41810482561464,-7.37319789690031,-7.21021263701607,-7.19163506548418,-7.11829995900556,-7.19068674867532,-7.66795843251841,-7.58587311099856,-7.6360856203053,-7.07128312062199,-7.85083009476311,-4.92125173296157
"36",-6.51032234257124,-6.88571426239098,-7.18463872419169,-6.95305155389731,-6.36651130570897,-7.00395156554884,-7.26688220616816,-6.88459694383898,-6.81634881265829,-7.07752733971235,-6.47495297465585,-6.35913853487246,-6.7430886574269,-7.33065724360174,-7.37821615560667,-7.21079273951711,-7.19696232313624,-7.23625934595417,-7.17787813506182,-7.76443030118194,-7.60577143665359,-7.66338595084352,-7.08500401005537,-7.89240133052056,-5.03538183671225
"37",-6.48576086892276,-6.8342393187676,-7.17283751951668,-6.91910516017772,-6.35707727347561,-7.01916580513324,-7.26402214293153,-6.92084051853079,-6.91867179072349,-7.1025543572872,-6.39535946004663,-6.34569350531845,-6.70074110959781,-7.36301105159332,-7.37593200660078,-7.17956400227763,-7.23844427084762,-7.19868070064738,-7.17507465691503,-7.85229852380818,-7.83445716215661,-7.67531817135049,-7.07735806336832,-7.932984347862,-4.92144771532378
"38",-6.35666553056207,-6.93630173667453,-7.21253506887086,-6.93468610879868,-6.36750955884902,-6.99175819890731,-7.23190376591452,-6.79826046418586,-6.88278395958952,-7.0555925967528,-6.47356389261558,-6.31585012259405,-5.90933171756946,-7.35650075808614,-7.42048748101871,-7.23170623504968,-7.19543735143392,-7.18050182472281,-7.24123200662355,-7.90548850730097,-7.6805642873786,-7.7610712116949,-7.08398116646125,-7.84097420187698,-4.91866835904948
"39",-6.3619486863209,-6.99502642996985,-7.30270444536233,-6.90433257170463,-6.32833686375053,-6.87736464527713,-7.10620621770598,-6.815566849892,-6.81778400110999,-7.20539149181815,-6.44960736611277,-6.30884028803821,-5.79134985034031,-7.34095870456312,-7.38625201563277,-7.16986243364804,-7.22129254432085,-7.21602886124467,-7.2544798920677,-7.71968599553205,-7.56085791001102,-7.74213691410279,-7.10585784633858,-7.83337510614481,-4.91297722339554
"40",-6.38955690088673,-6.96266412415975,-7.2672914552019,-6.97420037839029,-6.45340930786996,-7.0589104498296,-7.12502326812487,-6.82947236058809,-6.93777275782829,-7.21622331919375,-6.38590493708442,-6.44043381495634,-5.81181321886991,-7.44121610944071,-7.34338508713657,-7.22462098596443,-7.16467723684534,-7.14637511543585,-7.2544798920677,-7.69521313901332,-7.70119646657863,-7.77050524392826,-7.06574665819533,-7.86934228577147,-4.81597940461365
"41",-6.39040810965451,-6.96538439181877,-7.2593411534134,-6.95006647705386,-6.41166627926073,-7.01343330535862,-7.21117966155715,-6.84183378601967,-6.9224339135228,-7.09856994318099,-6.40016344972654,-6.29419257776503,-5.7102893125709,-7.39295956940375,-7.41762897502275,-7.24143142830135,-7.1239586832124,-7.08006992943707,-7.26178067485094,-7.59691043827254,-7.61413244831296,-7.76241349377563,-7.11162155105533,-7.82404601085629,-4.80578374022569
"42",-6.64155223820748,-6.97572826256834,-7.30865937576274,-7.04734580747807,-6.51967857190387,-7.02750453209206,-7.17488803752474,-6.87128559920075,-6.83570043345937,-7.19448542370854,-6.40992805528752,-6.28825463859049,-5.47151495929553,-7.38394945877849,-7.44512045798274,-7.2593411534134,-7.15878403378588,-7.13788747983202,-7.23111387645797,-7.56912697587195,-7.661562796282,-7.73231365239985,-7.12662227352909,-7.80319351469728,-4.81670283405349
"43",-6.41314614895409,-6.98695310557299,-7.26790564295793,-7.007733479921,-6.39724399032854,-7.07380986331222,-7.23012739122457,-6.80790994401242,-6.98834575570137,-7.2593411534134,-6.4156756980372,-6.34773141105737,-5.55994190468053,-7.30037467622635,-7.42191980401364,-7.16912004311654,-7.11689026714216,-7.16080590746428,-7.22638759747502,-7.52552998109109,-7.63667768663402,-7.68552707672073,-7.10987146310427,-7.80354334852977,-4.85820241537547
"44",-6.39887440215407,-6.99175819890731,-7.26076348424345,-7.08244886004072,-6.42418340185505,-6.92679248500222,-7.22658408043075,-6.82551718074517,-7.03932940463049,-7.29404821058731,-6.4671988510627,-6.41550104080158,-5.51615359806143,-7.40674644510112,-7.44487598909019,-7.25125213054031,-7.18917130985527,-7.19868070064738,-7.23229894473808,-7.6354939043117,-7.67778350387804,-7.68180267762975,-7.05426853168018,-7.75572002835704,-4.9851973147614
"45",-6.39801595931657,-6.94279047791923,-7.25105074095148,-7.10882287859715,-6.49621343360256,-6.98571682045185,-7.17563472413774,-6.81088787072921,-6.93073150825859,-7.30312862352351,-6.42180799933927,-6.43303066826959,-5.57207774937309,-7.37913127806815,-7.40252009459794,-7.19639018618919,-7.15037294013173,-7.15841685919024,-7.17675580048834,-7.61732224368106,-7.62285596975795,-7.59038651781411,-7.11004633413733,-7.86598470007662,-4.98686994054599
"46",-6.42092965057836,-6.96190980565072,-7.26893012824372,-6.99908766641724,-6.65866554572334,-7.03981836234539,-7.18746918178474,-6.76588376208261,-6.92359434301188,-7.33087532232902,-6.45658867195069,-6.44204657401928,-5.48447484251038,-7.45125168503768,-7.43611467726701,-7.19925414996062,-7.16837820331991,-7.07061039943954,-7.26035689753323,-7.67193823265883,-7.70785153788505,-7.5399417597524,-7.0923651662941,-7.84352012069167,-4.93101905097217
"47",-6.32251152708413,-6.98217099079054,-7.26524688282743,-6.88739258446325,-6.72234326448063,-7.04603260965311,-7.16930558908609,-6.81309466074661,-6.80946253845032,-7.25347009697028,-6.43587840535472,-6.48248754357779,-5.37516755668551,-7.33590430417525,-7.37342545407503,-7.15749951209353,-7.22756707471024,-7.07718881567391,-7.24362769553138,-7.67778350387804,-7.77866300500847,-7.51603623889884,-7.09081996897404,-7.90393992007706,-5.00598896217652
"48",-6.41646203331864,-6.93762555829906,-7.32370371710515,-6.95679547440678,-6.69264389936519,-7.02493135601803,-7.13573191945005,-6.83729681533358,-6.77936206421374,-7.25995047606859,-6.48763616248687,-6.42700601994148,-5.44400396796317,-7.39156810350206,-7.46064374616813,-7.18106494064571,-7.25630009683762,-7.07499119835805,-7.3718336402085,-7.59804939055968,-7.75672119647004,-7.5638819672984,-7.13125603694419,-7.86486800537655,-4.91229723541484
"49",-6.45913946134505,-6.90832687088109,-7.22540576136276,-7.00994621987868,-6.68827557422125,-7.11513094226894,-7.09649740357901,-6.84787042652591,-6.84692899682825,-7.15970256053366,-6.45549746514967,-6.38879143199969,-5.46016425300977,-7.38119337067651,-7.41383029998953,-7.24542823617987,-7.19925414996062,-7.07010615537474,-7.43587239985819,-7.54641427425801,-7.74213691410279,-7.53404520018555,-7.15310792223587,-7.84753399216351,-4.89011315606537
"50",-6.35214751244425,-6.99269088978792,-7.31981350255995,-6.69310483507282,-6.76452111089623,-7.03105349532663,-5.89979735858216,-6.90889878968422,-6.81400475636946,-7.30589017599546,-6.44106069000486,-6.4852925945054,-5.51189963014472,-7.40181743617812,-7.43490387678006,-7.34272276235245,-7.25084939191224,-7.15183066633738,-7.39017857108765,-7.53725719438173,-7.77627677582097,-7.62285596975795,-7.26178067485094,-7.8187031664458,-4.87275088959026
"51",-6.26778286090945,-6.88236604497732,-7.25286470899901,-6.84652579811302,-6.70260114268465,-6.97710535711693,-5.76749847701225,-6.94679315170889,-6.8404972447889,-7.33656212680615,-6.48192747635509,-6.46453573364322,-5.55657009497581,-7.38004723874588,-7.47666411382915,-7.27118769718613,-7.22462098596443,-7.03202358432753,-7.40486586156616,-7.55538294424077,-7.80005050530008,-7.60147405144104,-7.25670503711446,-7.76241349377563,-4.70899220320213
"52",-6.48183416230659,-6.86291849737295,-7.25064808340627,-6.90647039051926,-6.53039574385057,-7.02108396428914,-5.55679206234752,-6.84143263605106,-6.80816854241055,-7.32046082160294,-6.38811150676526,-6.43054553341467,-5.56945140186111,-7.36458887227453,-7.47767395991346,-7.22129254432085,-7.17190685402372,-7.11442807806851,-7.32652275833018,-7.54479221388614,-7.74576309246225,-7.49191993983897,-7.21816998128406,-7.77525584668686,-4.70075326016756
"53",-6.47959723342154,-6.83862908304995,-7.30058624927273,-6.80545658878871,-6.52084215198279,-7.0526159119023,-4.99694373839439,-6.84089801962561,-6.933512744041,-7.31336325443821,-6.3906636136375,-6.43445352311169,-5.53828014278944,-7.42407214252241,-7.45346816174857,-7.14637511543585,-7.22344497642082,-7.12183290738974,-7.34051817592164,-7.62431731738029,-7.82690724313732,-7.58587311099856,-7.17787813506182,-7.72065171265201,-4.72026042191476
"54",-6.61189247444016,-6.81634881265829,-7.3020685152932,-6.76948513201044,-6.45758999195607,-7.01629544755734,-4.91078349502332,-6.78832281073712,-6.84612276190148,-7.26076348424345,-6.49526727022419,-6.47782987330381,-5.74491701801476,-7.35627701941197,-7.45125168503768,-7.23943899887155,-7.19639018618919,-7.10969662264574,-7.32305429614932,-7.57106630325633,-7.73525051207316,-7.59123505413995,-6.8010813405275,-7.65611319151444,-4.7417265574144
"55",-6.64209973343057,-6.83503602575437,-7.39435297418099,-6.80185205347509,-6.51638909525347,-6.99893115964801,-4.82790310733661,-6.76414980078614,-6.83410659595899,-7.2944687320401,-6.66312983885203,-6.4981084502773,-5.69568676212056,-7.37890241892995,-7.41786687201447,-7.27902602114605,-7.17432838822368,-7.13788747983202,-7.26300267092968,-7.57384331142808,-7.87684419642326,-7.59406871996352,-5.78892028319651,-7.72065171265201,-4.81509788128435
"56",-6.64330527908592,-6.80468309384232,-7.33590430417525,-6.84437814628082,-6.58412018912161,-7.0894484618158,-4.7319489190195,-6.79595837850362,-6.90990043532853,-7.28985269362963,-6.6678388956536,-6.59221487840196,-5.5983419621982,-7.42072605909452,-7.46662134802701,-7.21973004400296,-7.22638759747502,-7.03186183746102,-7.32262158303136,-7.69176540013342,-7.81409568000312,-7.64949264370885,-5.75912908542488,-7.71775735462564,-4.77829983241315
"57",-6.59242329857779,-6.82736098477074,-7.33109344862501,-6.60279477073008,-6.60448111177052,-6.73008739086953,-4.72764456595481,-6.78024195868318,-6.97176060895805,-7.32826151121336,-6.61786136873376,-6.55599237940443,-5.82881134091144,-7.37936018959485,-7.49268887490185,-7.19239436696333,-7.23052186854724,-7.03542632600502,-7.29383801615668,-7.64023746494076,-7.80880559536859,-7.6257808036652,-5.67249147035326,-7.73003537639405,-4.77173088589203
"58",-6.65278088986974,-6.86867193790133,-7.34559600999164,-6.81974440165942,-6.64495155065348,-6.72710177928888,-4.65257630838536,-6.75933527386386,-6.89258521419269,-7.28797043855127,-6.69425810471973,-6.53619172254965,-5.80458197898646,-7.37115220917702,-7.49860376934866,-7.08756570558997,-7.16080590746428,-7.03900356559209,-7.28630029202526,-7.64979262871185,-7.75939588880348,-7.58615460290753,-5.43436621101131,-7.72323152704638,-4.80539970893988
"59",-6.64155223820748,-6.90234138913806,-7.34095870456312,-6.75380870161502,-6.66458503584023,-6.02357460102622,-4.78119163023357,-6.90390555582739,-6.96070407830043,-7.30631570791677,-6.75552480892513,-6.49602412929533,-5.7864500528616,-7.40252009459794,-7.43756957568077,-7.14420120153623,-7.20693173085965,-7.04652485677109,-7.1580498193623,-7.68397355768839,-7.78895469104502,-7.63875268367318,-5.22191203534563,-7.72387752190089,-4.740515467613
"60",-6.65079017919242,-6.90918487179173,-7.32348719658898,-6.76724827262119,-6.75478897371901,-5.95692510369041,-4.88128136493461,-6.8228890583389,-6.90163121227418,-7.27303859745747,-6.7524623945761,-6.54559540481284,-5.78719513997812,-7.35181272628329,-7.52288377684782,-7.09442915051496,-7.13250726599294,-7.007733479921,-7.33546599603762,-7.66948725103969,-7.71519160594421,-7.54722629216702,-5.16478597392351,-7.69709874610878,-4.80148056021282
